item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml,image_url
943533,Plantation Rum Old Fashioned Traditional Dark Overproof,1062100.0,17.5,26.25,1000,https://shop.iowaabd.com/images/product-small/942395.jpg
987507,1800 Silver,1901200.0,4.67,7.01,200,https://shop.iowaabd.com/images/product-small/87511-1.jpg
43035,Bacardi Gold PET,1062100.0,8.26,12.39,750,https://shop.iowaabd.com/images/product-small/043035.jpg
77284,Rocket Fuel,1091200.0,6.65,9.98,750,https://shop.iowaabd.com/images/product-small/77284-1.jpg
77054,Private First Class,1091100.0,12.96,19.44,750,https://shop.iowaabd.com/images/product-small/77054-1.jpg
26759,Cedar Ridge Single Malt Whiskey,1012300.0,7.5,11.25,200,https://shop.iowaabd.com/images/product-small/027476-1.jpg
68010,Baileys Strawberries & Cream Mini,1082100.0,25.25,37.88,50,https://shop.iowaabd.com/images/product-small/68011-1.png
969618,SOOH Dr McGillicuddys Butterscotch,1081000.0,8.66,12.99,750,https://shop.iowaabd.com/images/product-small/969618-1.jpg
78115,Saints ''n Sinners Mini,1091100.0,8.38,12.57,50,https://shop.iowaabd.com/images/product-small/78115-1.jpg
100983,1800 Silver Tequila 750ml w/ 1800 Coconut 200ml,1700000.0,15.46,23.19,750,https://shop.iowaabd.com/images/product-small/100983-1.jpg
5004,Glenfiddich 12YR,1012300.0,12.5,18.75,375,https://shop.iowaabd.com/images/product-small/5006-1.jpg
26726,Templeton Rye Maple Cask Finish Whiskey,1011600.0,17.5,26.25,750,https://shop.iowaabd.com/images/product-small/26726-1.jpg
87210,Banhez Mezcal,1022300.0,20.5,30.75,1000,https://shop.iowaabd.com/images/product-small/88511-1.jpg
26815,Green Frog Distillery Caramel Flavored Corn Whiskey,1011700.0,17.5,26.25,750,https://shop.iowaabd.com/images/product-small/26815.jpg
5842,Glenlivet 14YR,1012300.0,27.48,41.22,750,https://shop.iowaabd.com/images/product-small/5842-1.jpg
26770,Cedar Ridge Malted Rye,1011600.0,6.0,9.0,200,https://shop.iowaabd.com/images/product-small/27014-1.png
920376,SOOH Old Forester 1920,,29.98,44.97,750,https://shop.iowaabd.com/images/product-small/920376-1.jpg
44266,British Navy Pussers Rum,1062300.0,12.02,18.03,750,https://shop.iowaabd.com/images/product-small/44266-1.jpg
5037,Glenlivet 12YR,1012300.0,28.98,43.47,1000,https://shop.iowaabd.com/images/product-small/5036-1.jpg
965220,Jinro Chamisul Fresh Soju,1092100.0,2.5,3.75,375,https://shop.iowaabd.com/images/product-small/965269-1.jpg
5486,Macallan 12YR,1012300.0,40.01,60.02,750,https://shop.iowaabd.com/images/product-small/5486-1.jpg
43371,Appleton Signature Blend,1062100.0,10.5,15.75,750,https://shop.iowaabd.com/images/product-small/043371-1.jpg
973981,Di Amore Amaretto Mini,1081000.0,5.95,8.93,600,https://shop.iowaabd.com/images/product-small/073986.jpg
86839,Ole Smoky Mango Habanero Whiskey,1091300.0,10.0,15.0,750,https://shop.iowaabd.com/images/product-small/86839-1.png
965264,Jinro Soju,1901200.0,7.25,10.88,750,https://shop.iowaabd.com/images/product-small/965264-1.png
19116,Jim Beam Single Barrel,1011300.0,19.41,29.12,750,https://shop.iowaabd.com/images/product-small/19116-1.jpg
27048,Knob Creek Rye,1011600.0,20.0,30.0,750,https://shop.iowaabd.com/images/product-small/27048-1.jpg
45306,Paramount Gold 151 Rum,1062100.0,12.5,18.75,750,https://shop.iowaabd.com/images/product-small/45245-1.jpg
4356,Balvenie 12YR Doublewood,1012300.0,34.0,51.0,750,https://shop.iowaabd.com/images/product-small/004356.jpg
965264,SOOH Jinro Soju,1901200.0,7.25,10.88,750,https://shop.iowaabd.com/images/product-small/965264-1.png
986830,Ole Smoky Margarita Moonshine,1091300.0,11.0,16.5,750,https://shop.iowaabd.com/images/product-small/86781-1.jpg
926684,Foundry Whiskey Custom,1011800.0,7.93,11.9,750,https://shop.iowaabd.com/images/product-small/26265-1.jpg
86560,Century Farms Prairie States Corn Whiskey Rapid Aged,1091100.0,8.51,12.77,750,https://shop.iowaabd.com/images/product-small/86560-1.jpg
51109,Ciroc VS,1700000.0,17.48,26.22,1000,https://shop.iowaabd.com/images/product-small/51109-1.png
987209,Banhez Mezcal - use code 988511,1022300.0,17.09,25.64,750,https://shop.iowaabd.com/images/product-small/88511-1.jpg
902795,SOOH Old Grand Dad 114prf,1901200.0,13.84,20.76,750,https://shop.iowaabd.com/images/product-small/902795-1.png
903124,SOOH Becherovka Liqueur,1901200.0,10.77,16.16,750,https://shop.iowaabd.com/images/product-small/903124-1.jpg
