item_number,item_description,category,state_bottle_cost,state_bottle_retail,bottle_volume_ml
5446,Laphroaig 10YR,1012300,23.62,35.43,750
89757,Scorpion Mezcal Reposado,1092100,27.73,41.6,750
6206,Talisker 10YR,1012300,40.0,60.0,750
41846,Everclear Alcohol,1091200,8.0,12.0,750
5153,Glenlivet Founders Reserve,1012300,20.98,31.47,750
87288,Casamigos Mezcal Joven,1022300,33.33,50.0,750
42983,Zaya Gran Reserva Rum,1062300,13.98,20.97,750
932650,SOOH Uncle Vals Botanical Gin,1041200,19.25,28.88,750
73136,Chila Coffee Liqueur,1081100,4.97,7.46,750
67534,Kahlua Vanilla,1081100,12.49,18.74,750
76072,Midnight Moon Watermelon,1091300,11.5,17.25,750
43686,Cross Keys Rum,1062300,10.07,15.11,750
43519,Havana Club Anejo Clasico,1062100,11.0,16.5,750
5596,Mcclelland Highland,1012300,20.0,30.0,750
5014,Glenfiddich 15YR Solera Reserva,1012300,36.5,54.75,750
27439,Tim Smiths Climax Moonshine,1091100,16.0,24.0,750
4111,Ardbeg Uigeadail,1012300,40.99,61.49,750
89824,Sombra Mezcal,1022300,20.0,30.0,750
5247,Highland Park 12YR Viking Honour,1012300,27.56,41.34,750
43618,Bacardi Anejo Cuatro,1062100,9.99,14.99,750
5696,Oban Single Malt Scotch,1012300,55.99,83.99,750
43621,Myers's Original Dark Rum,1062300,10.0,15.0,750
27027,Cody Road Rye,1011600,19.17,28.76,750
64558,The Bitter Truth Violet Liqueur,1082100,16.5,24.75,750
42370,Bacardi 8,1062300,15.0,22.5,750
5061,Glenlivet 15YR French Oak,1012300,36.48,54.72,750
39459,Blue Ox 151,1091200,6.65,9.98,750
67586,Kapali Coffee Liqueur,1081100,4.5,6.75,750
16846,Bird Dog 7 Year Old Bourbon,1011500,12.53,18.8,750
941060,SOOH Burnetts Pink Lemonade,1901200,4.5,6.75,750
5157,Glenfiddich 18YR,1012300,52.5,78.75,750
17913,Elijah  Craig Toasted Barrel,1700000,25.0,37.5,750
80024,Blue Chair Bay Banana Rum Cream,,9.42,14.13,750
5430,Lagavulin 16YR,1012300,62.99,94.49,750
917946,HA Elmer T Lee Single Barrel,1901200,20.0,30.0,750
4184,Ardbeg An Oa,1012300,28.49,42.74,750
74836,Iowa Legendary Rye White Label,1091100,10.66,15.99,750
76042,Midnight Moon Blackberry,1091300,11.5,17.25,750
5744,Macallan 18YR,1012300,175.27,262.91,750
43801,Appleton 8 Year Old Reserve,1062300,13.5,20.25,750
88089,Mayalen Mezcal Machetazo,1022300,23.32,34.98,750
16372,Old Fitzgerald  9yr  BIB  Decanter,1700000,45.0,67.5,750
48696,Martell VSSD,1092100,19.48,29.22,750
27126,Russells Reserve Rye 6YR,1011600,21.0,31.5,750
27370,American Born Moonshine Apple Pie,1011700,11.5,17.25,750
5136,Glenmorangie 18YR,1012300,49.99,74.99,750
100941,Hennessy XO 2020 EOY Ice Experience VAP,1700000,99.99,149.99,750
43641,Diplomatico Reserva Exclusiva,1062300,20.0,30.0,750
76040,Midnight Moon Strawberry,1091300,11.5,17.25,750
64529,Bumbu Rum,1062300,18.5,27.75,750
4374,Balvenie 15YR Sherry Cask,1012300,65.0,97.5,750
89566,Monte Alban Mezcal,1022300,13.26,19.89,750
