store_number,store_name,store_location,address,city
6018,Casey's General Store - #2532,POINT (-93.10607700000001 42.360624),1807 Edgington Ave,Eldora
5516,Quik N Handi III,POINT (-91.647575 42.600544),710 Washburn Ave,Lamont
4656,Casey's General Store #2301 / Ames,,17005 Hwy 69,Ames
4491,Casey's General Store #2772 / Cedar Rapids,POINT (-91.619027 41.976807),3349 Mt Vernon Rd SE,Cedar Rapids
5558,Casey's General Store #1280 / Fort Dodge,,,
5399,Casey's General Store # 1876/Manly,POINT (-93.210905 43.283246),505 Hwy 65 S,Manly
4648,Prime Mart / Broadway Waterloo,POINT (-92.345104 42.510573),508 Broadway St,Waterloo
5449,Mods Market,POINT (-91.668267 41.978996),200 1st Ave NE Ste 124,Cedar Rapids
5972,Casey's General Store #1623 / Indianola,POINT (-93.558407 41.36615400000001),607 N. Jefferson Way,Indianola
5381,Casey's General Store # 3546/ Monona,,901 S Main St.,Monona
4548,Casey's General Store #2594 / Walker,POINT (-91.781945 42.283922),401 Grant St,Walker
5512,Casey's General Store #3639 / Postville,POINT (-91.580193 43.084432),620 W Tilden St,Postville
5382,Casey's General Store # 2870/ Altoona,POINT (-93.464479 41.663585),1419 1st Ave N,Altoona
5117,Food & Gas Mart  /  Marshalltown,POINT (-92.9081 42.057471),"613, N 3rd Ave",Marshalltown
3870,Target Store T-1939 / Altoona,POINT (-93.503783 41.644024),3414 8th St SW,Altoona
5811,Casey's General Store #2629 / Riverside,POINT (-91.578314 41.480006),200 E 1st St,Riverside
4953,Tri Stop,POINT (-90.817528 41.967498),302 Hwy 136,Lost Nation
5389,Casey's General Store # 2511/ Cresco,POINT (-92.125702 43.371147),601 2nd Ave. S.W.,Cresco
3930,Kuennen's Liquor Store,,106 W Mains St Po Box 142,St Lucas
4824,Casey's General Store #3852 / Creston,POINT (-94.362115 41.049213),107 W Taylor St,Creston
3849,Hartig Drug Co #6 / Dyersville,POINT (-91.116087 42.470285),711  16th Ave SE,Dyersville
5933,Ali's Corner / Waterloo,POINT (-92.332774 42.507683),1117 E 4th St,Waterloo
5069,Casey's General Store #1705 / Lake M,POINT (-93.532484 43.419608),101 N Lake St,Lake Mills
5422,The Depot Montezuma LLC,POINT (-92.527236 41.584912),100 S. Front St.,Montezuma
5488,Yesway #1103 / Rockford,POINT (-93.521318 43.419512),814 E Main St,Rockford
5044,Casey's General Store #3202 / Cresce,POINT (-95.85894200000001 41.362302),"111, Mormon Bridge Rd",Crescent
3803,Strawberry Foods and Deli,POINT (-91.535736 42.683731),128 W Mission,Strawberry Point
4701,Walgreens #11193 / Boone,POINT (-93.879992 42.059115),310 Story St,Boone
4387,KUM & GO #117 / Spirit Lake,POINT (-95.094324 43.422645),300 18th St,Spirit Lake
4902,Broadway Liquor,POINT (-92.345144 42.513772),821 Broadway St,Waterloo
5852,Casey's General Store #2256 - DeWitt,POINT (-90.552434 41.825724),1515 11th Street,DeWitt
5530,Yesway #1148 / Marshalltown,POINT (-92.88592 42.006852),1701 Iowa Ave E,Marshalltown
3688,Fredericksburg Food Center,POINT (-92.19947300000001 42.965098),100 W Main St,Fredericksburg
4658,Casey's General Store #3027 / Iowa Falls,POINT (-93.26836500000002 42.519634),904 Washington Ave,Iowa Falls
4665,Casey's General Store #2896 / Ankeny,POINT (-93.57152 41.703813),2601 SE Creekview Dr,Ankeny
4861,The Station / Cedar Rapids,POINT (-91.747514 41.943626),3645 Stone Creek Circle SW,Cedar Rapids
5149,B S Mini Mart Inc,POINT (-91.116076 40.789013),"1900, Summer St",Burlington
3886,Wal-Mart 0646 / Anamosa,,101  115 St,Anamosa
5618,Casey's General Store #1446 / Lisbon,,150 E. Business 30,Lisbon
5937,Carstensen's Meat and Grocery / Lake Park,POINT (-95.321385 43.454741),201 Market St N,Lake Park
5762,Casey's General Store #1329 / Estherville,POINT (-94.84356 43.401909),8 Central Ave,Estherville
5601,Casey's General Store #1889 / Monticello,POINT (-91.186135 42.232296),627 S Main St,Monticello
5120,Casey's General Store #3442 / Maplet,POINT (-95.793241 42.16184700000001),"401, S  4th  St",Mapleton
5538,Casey's General Store #2490 / Story City,POINT (-93.574177 42.187738),1625 E Broad St,Story City
5456,Oelwein Mart,POINT (-91.902413 42.678786),801 E Charles St,Oelwein
